== bua-kandidaten --jaar 2026 --detail (lees-only, kantoorbreed) ==
BUA-kandidaten — 78 administratie(s), boekjaar 2026 (lees-only; kenmerk = `btw_aftrek_uitgesloten`; module = geboekte inkoopfacturen op factuurdatum, bank = geboekte bank-direct-boekingen op boekmoment)
code  rekening                                   adm kenm rlz0 mod_n  mod_netto  mod_btw bank_n bank_netto bank_btw  advies
4014  Kantinekosten                               74    0   74     0       0.00     0.00      0       0.00     0.00  beoordelen — BUA-kantineregeling: aftrek wél, correctie aan het jaareinde bij bevoordeling > € 227 — het kenmerk zet altijd álle btw in de kosten (te conservatief)
Clean Care Holding B.V.           4508  Relatiegeschenken (beperkt aftrekbaar)    uit  geen                  geen                       0       0.00     0.00      0       0.00     0.00
Clean Care Holding B.V.           4510  Representatiekosten (beperkt aftrekbaar)  uit  geen                  geen                       0       0.00     0.00      0       0.00     0.00
DP Investments B.V.               4014  Kantinekosten                             uit  geen                  geen                       0       0.00     0.00      0       0.00     0.00
DP Investments B.V.               4503  Kosten promotie/sponsoring                uit  geen                  geen                       0       0.00     0.00      0       0.00     0.00
DP Investments B.V.               4508  Relatiegeschenken (beperkt aftrekbaar)    uit  geen                  geen                       0       0.00     0.00      0       0.00     0.00
DP Investments B.V.               4510  Representatiekosten (beperkt aftrekbaar)  uit  geen                  geen                       0       0.00     0.00      0       0.00     0.00
De Nederlandse Beheer B.V.        4014  Kantinekosten                             uit  geen                  geen                       0       0.00     0.00      0       0.00     0.00
De Nederlandse Beheer B.V.        4503  Kosten promotie/sponsoring                uit  geen                  geen                       0       0.00     0.00      0       0.00     0.00
De Nederlandse Beheer B.V.        4508  Relatiegeschenken (beperkt aftrekbaar)    uit  geen                  geen                       0       0.00     0.00      0       0.00     0.00
De Nederlandse Beheer B.V.        4510  Representatiekosten (beperkt aftrekbaar)  uit  geen                  geen                       0       0.00     0.00      0       0.00     0.00
De Wit Beheer Oss B.V.            4014  Kantinekosten                             uit  geen                  geen                       0       0.00     0.00      0       0.00     0.00
De Wit Beheer Oss B.V.            4503  Kosten promotie/sponsoring                uit  geen                  geen                       0       0.00     0.00      0       0.00     0.00
De Wit Beheer Oss B.V.            4508  Relatiegeschenken (beperkt aftrekbaar)    uit  geen                  geen                       0       0.00     0.00      0       0.00     0.00
De Wit Beheer Oss B.V.            4510  Representatiekosten (beperkt aftrekbaar)  uit  geen                  geen                       0       0.00     0.00      0       0.00     0.00
Delascos BV                       4014  Kantinekosten                             uit  geen                  geen                       0       0.00     0.00      0       0.00     0.00
Delascos BV                       4503  Kosten promotie/sponsoring                uit  geen                  geen                       0       0.00     0.00      0       0.00     0.00
Delascos BV                       4508  Relatiegeschenken (beperkt aftrekbaar)    uit  geen                  geen                       0       0.00     0.00      0       0.00     0.00
Delascos BV                       4510  Representatiekosten (beperkt aftrekbaar)  uit  geen                  geen                       0       0.00     0.00      0       0.00     0.00
Dimo Living & Styles              4014  Kantinekosten                             uit  geen                  geen                       0       0.00     0.00      0       0.00     0.00
Dimo Living & Styles              4503  Kosten promotie/sponsoring                uit  geen                  geen                       0       0.00     0.00      0       0.00     0.00
Dimo Living & Styles              4508  Relatiegeschenken (beperkt aftrekbaar)    uit  geen                  geen                       0       0.00     0.00      0       0.00     0.00
Dimo Living & Styles              4510  Representatiekosten (beperkt aftrekbaar)  uit  geen                  geen                       0       0.00     0.00      0       0.00     0.00
Fortuna Beheer B.V.               4014  Kantinekosten                             uit  geen                  geen                       0       0.00     0.00      0       0.00     0.00
Fortuna Beheer B.V.               4503  Kosten promotie/sponsoring                uit  geen                  geen                       0       0.00     0.00      0       0.00     0.00
Fortuna Beheer B.V.               4508  Relatiegeschenken (beperkt aftrekbaar)    uit  geen                  geen                       0       0.00     0.00      0       0.00     0.00
Fortuna Beheer B.V.               4510  Representatiekosten (beperkt aftrekbaar)  uit  geen                  geen                       0       0.00     0.00      0       0.00     0.00
Frij Beheer BV                    4014  Kantinekosten                             uit  geen                  geen                       0       0.00     0.00      0       0.00     0.00
Frij Beheer BV                    4503  Kosten promotie/sponsoring                uit  geen                  geen                       0       0.00     0.00      0       0.00     0.00
Frij Beheer BV                    4508  Relatiegeschenken (beperkt aftrekbaar)    uit  geen                  geen                       0       0.00     0.00      0       0.00     0.00
Frij Beheer BV                    4510  Representatiekosten (beperkt aftrekbaar)  uit  geen                  geen                       0       0.00     0.00      0       0.00     0.00
Handelsonderneming Kempen B.V.    4014  Kantinekosten                             uit  geen                  geen                       0       0.00     0.00      0       0.00     0.00
Handelsonderneming Kempen B.V.    4503  Kosten promotie/sponsoring                uit  geen                  geen                       0       0.00     0.00      0       0.00     0.00
Handelsonderneming Kempen B.V.    4508  Relatiegeschenken (beperkt aftrekbaar)    uit  geen                  geen                       0       0.00     0.00      0       0.00     0.00
Handelsonderneming Kempen B.V.    4510  Representatiekosten (beperkt aftrekbaar)  uit  geen                  geen                       0       0.00     0.00      0       0.00     0.00
Hotel Pax                         4014  Kantinekosten                             uit  geen                  geen                       0       0.00     0.00      0       0.00     0.00
Hotel Pax                         4503  Kosten promotie/sponsoring                uit  geen                  geen                       0       0.00     0.00      0       0.00     0.00
Hotel Pax                         4508  Relatiegeschenken (beperkt aftrekbaar)    uit  geen                  geen                       0       0.00     0.00      0       0.00     0.00
Hotel Pax                         4510  Representatiekosten (beperkt aftrekbaar)  uit  geen                  geen                       0       0.00     0.00      0       0.00     0.00
Inpensas Beheer BV                4014  Kantinekosten                             uit  geen                  geen                       0       0.00     0.00      0       0.00     0.00
Inpensas Beheer BV                4503  Kosten promotie/sponsoring                uit  geen                  geen                       0       0.00     0.00      0       0.00     0.00
Inpensas Beheer BV                4508  Relatiegeschenken (beperkt aftrekbaar)    uit  geen                  geen                       0       0.00     0.00      0       0.00     0.00
Inpensas Beheer BV                4510  Representatiekosten (beperkt aftrekbaar)  uit  geen                  geen                       0       0.00     0.00      0       0.00     0.00
J.G.M. Elissen Holding BV         4014  Kantinekosten                             uit  geen                  geen                       0       0.00     0.00      0       0.00     0.00
J.G.M. Elissen Holding BV         4503  Kosten promotie/sponsoring                uit  geen                  geen                       0       0.00     0.00      0       0.00     0.00
J.G.M. Elissen Holding BV         4508  Relatiegeschenken (beperkt aftrekbaar)    uit  geen                  geen                       0       0.00     0.00      0       0.00     0.00
J.G.M. Elissen Holding BV         4510  Representatiekosten (beperkt aftrekbaar)  uit  geen                  geen                       0       0.00     0.00      0       0.00     0.00
Kempen B.V.                       4014  Kantinekosten                             uit  geen                  geen                       0       0.00     0.00      0       0.00     0.00
Kempen B.V.                       4503  Kosten promotie/sponsoring                uit  geen                  geen                       0       0.00     0.00      0       0.00     0.00
Kempen B.V.                       4508  Relatiegeschenken (beperkt aftrekbaar)    uit  geen                  geen                       0       0.00     0.00      0       0.00     0.00
Kempen B.V.                       4510  Representatiekosten (beperkt aftrekbaar)  uit  geen                  geen                       0       0.00     0.00      0       0.00     0.00
Kempen Chalets B.V.               4014  Kantinekosten                             uit  geen                  geen                       0       0.00     0.00      0       0.00     0.00
Kempen Chalets B.V.               4503  Kosten promotie/sponsoring                uit  geen                  geen                       0       0.00     0.00      0       0.00     0.00
Kempen Chalets B.V.               4508  Relatiegeschenken (beperkt aftrekbaar)    uit  geen                  geen                       0       0.00     0.00      0       0.00     0.00
Kempen Chalets B.V.               4510  Representatiekosten (beperkt aftrekbaar)  uit  geen                  geen                       0       0.00     0.00      0       0.00     0.00
Kempen Facilities B.V.            4014  Kantinekosten                             uit  geen                  geen                       0       0.00     0.00      0       0.00     0.00
Kempen Facilities B.V.            4503  Kosten promotie/sponsoring                uit  geen                  geen                       0       0.00     0.00      0       0.00     0.00
Kempen Facilities B.V.            4508  Relatiegeschenken (beperkt aftrekbaar)    uit  geen                  geen                       0       0.00     0.00      0       0.00     0.00
Kempen Facilities B.V.            4510  Representatiekosten (beperkt aftrekbaar)  uit  geen                  geen                       0       0.00     0.00      0       0.00     0.00
L.H.G. Admin B.V.                 4014  Kantinekosten                             uit  geen                  geen                       0       0.00     0.00      0       0.00     0.00
L.H.G. Admin B.V.                 4503  Kosten promotie/sponsoring                uit  geen                  geen                       0       0.00     0.00      0       0.00     0.00
