# STAP-0 24-09 — RLZ-rekenregel btw per document (lees-only, nameting.sh rlz-lezen, GET op de gedeployde job-image 1995edd)
# label: V-<verkoopnr> = doorbelasting-verkoop Kempen Facilities (SalesInvoices/{guid}); S-<verkoopnr> = spiegel-inkoop in het doel (PurchaseInvoices/{guid});
#        I-<adm>-<boekstuk> = gewone module-inkoopfactuur (PurchaseInvoices/{uuid5}). Percentages: doorbelasting = vlak 21 % (instelling), inkoop = taxrate_cache van de module.
# H1 = document-btw == Σ per tarief round_half_up(Σ netto × pct); grootste_regel = elke regel round_half_up(netto × pct), de grootste regel (|netto|, eerste bij gelijk) draagt het verschil.
label	n_regels	netto_per_regel	taxamount_rlz_per_regel	TotalNetAmount	TotalTaxAmount	TotalPayableAmount	H1_klopt	grootste_regel_klopt	grootste_rest_klopt	eerste_regel_klopt	half_case	ons_btw	rlz_min_ons_ct	rlz_incl_min_factuur_ct
V-24713370	3	1608.38|24.5|81.64	337.76|5.15|17.14	1714.52	360.05	2074.57	True	True	True	True	False	360.05	0	
V-24713371	3	1608.38|24.5|81.64	337.76|5.15|17.14	1714.52	360.05	2074.57	True	True	True	True	False	360.05	0	
V-24713372	3	1608.38|24.5|81.64	337.76|5.15|17.14	1714.52	360.05	2074.57	True	True	True	True	False	360.05	0	
V-24713375	2	59.66|2.98	12.52|0.63	62.64	13.15	75.79	True	True	False	True	False	13.16	-1	
V-24713383	2	2250.0|112.5	472.5|23.63	2362.5	496.13	2858.63	True	True	True	True	True	496.13	0	
V-24713388	2	577.26|28.86	121.23|6.06	606.12	127.29	733.41	True	True	True	True	False	127.28	1	
V-24713389	2	4775.68|238.78	1002.9|50.14	5014.46	1053.04	6067.5	True	True	False	True	False	1053.03	1	
V-24713390	2	262.5|13.13	55.12|2.76	275.63	57.88	333.51	True	True	True	True	False	57.89	-1	
V-24713391	2	171.88|8.59	36.1|1.8	180.47	37.9	218.37	True	True	True	True	False	37.89	1	
V-24713394	2	1028.13|51.41	215.9|10.8	1079.54	226.7	1306.24	True	True	False	True	False	226.71	-1	
V-24713398	4	1365.01|118.8|105.6|79.47	286.64|24.95|22.18|16.69	1668.88	350.46	2019.34	True	True	False	True	False	350.47	-1	
V-24713399	4	19.9|248.72|22.38|14.55	4.18|52.23|4.7|3.06	305.55	64.17	369.72	True	True	True	True	False	64.17	0	
V-24713400	5	236.17|21.26|-0.8|18.89|13.78	49.6|4.46|-0.17|3.97|2.89	289.3	60.75	350.05	True	True	True	True	False	60.75	0	
